"Geographic Area Name (NAME)","Year (YEAR)","Meaning of Survey Component (SVY_COMP_LABEL)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT)","Rank (RANK)"
"New York","2017","Annual Survey of School System Finance","Total current spending per pupil","State and Local","23,091","1"
"New York","2018","Annual Survey of School System Finance","Total current spending per pupil","State and Local","24,048","1"
"New York","2019","Annual Survey of School System Finance","Total current spending per pupil","State and Local","25,139","1"
"District of Columbia","2017","Annual Survey of School System Finance","Total current spending per pupil","State and Local","21,974","2"
"District of Columbia","2018","Annual Survey of School System Finance","Total current spending per pupil","State and Local","22,759","2"
"District of Columbia","2019","Annual Survey of School System Finance","Total current spending per pupil","State and Local","22,562","2"
"Connecticut","2017","Annual Survey of School System Finance","Total current spending per pupil","State and Local","19,322","3"
"Connecticut","2018","Annual Survey of School System Finance","Total current spending per pupil","State and Local","20,635","3"
"Connecticut","2019","Annual Survey of School System Finance","Total current spending per pupil","State and Local","21,310","3"
"New Jersey","2017","Annual Survey of School System Finance","Total current spending per pupil","State and Local","18,920","4"
"New Jersey","2018","Annual Survey of School System Finance","Total current spending per pupil","State and Local","19,526","4"
"New Jersey","2019","Annual Survey of School System Finance","Total current spending per pupil","State and Local","20,512","4"
"Vermont","2017","Annual Survey of School System Finance","Total current spending per pupil","State and Local","18,290","5"
"Vermont","2018","Annual Survey of School System Finance","Total current spending per pupil","State and Local","19,341","5"
"Vermont","2019","Annual Survey of School System Finance","Total current spending per pupil","State and Local","20,315","5"
"Alaska","2017","Annual Survey of School System Finance","Total current spending per pupil","State and Local","17,838","6"
"Alaska","2018","Annual Survey of School System Finance","Total current spending per pupil","State and Local","17,726","6"
"Alaska","2019","Annual Survey of School System Finance","Total current spending per pupil","State and Local","18,394","6"
"Massachusetts","2018","Annual Survey of School System Finance","Total current spending per pupil","State and Local","17,058","7"
"Massachusetts","2019","Annual Survey of School System Finance","Total current spending per pupil","State and Local","17,748","7"
"Wyoming","2017","Annual Survey of School System Finance","Total current spending per pupil","State and Local","16,537","7"
"Massachusetts","2017","Annual Survey of School System Finance","Total current spending per pupil","State and Local","16,193","8"
"New Hampshire","2018","Annual Survey of School System Finance","Total current spending per pupil","State and Local","16,893","8"
"New Hampshire","2019","Annual Survey of School System Finance","Total current spending per pupil","State and Local","17,462","8"
"Pennsylvania","2018","Annual Survey of School System Finance","Total current spending per pupil","State and Local","16,395","9"
"Pennsylvania","2019","Annual Survey of School System Finance","Total current spending per pupil","State and Local","16,864","9"
"Rhode Island","2017","Annual Survey of School System Finance","Total current spending per pupil","State and Local","15,962","9"
"Pennsylvania","2017","Annual Survey of School System Finance","Total current spending per pupil","State and Local","15,798","10"
"Rhode Island","2019","Annual Survey of School System Finance","Total current spending per pupil","State and Local","16,750","10"
"Wyoming","2018","Annual Survey of School System Finance","Total current spending per pupil","State and Local","16,224","10"
"Delaware","2019","Annual Survey of School System Finance","Total current spending per pupil","State and Local","16,315","11"
"New Hampshire","2017","Annual Survey of School System Finance","Total current spending per pupil","State and Local","15,683","11"
"Rhode Island","2018","Annual Survey of School System Finance","Total current spending per pupil","State and Local","16,142","11"
